quoteId,policyId,status,decisionDate,agentId
QT096,PL021,APPROVED,2025-02-15,AG003
QT097,PL022,PENDING,2025-02-15,AG002
QT098,PL023,REJECTED,2025-02-15,AG001
QT099,PL024,APPROVED,2025-02-15,AG003
QT100,PL025,PENDING,2025-02-15,AG002
QT101,PL026,REJECTED,2025-02-15,AG001
QT102,PL027,APPROVED,2025-02-15,AG002
QT103,PL028,REJECTED,2025-02-15,AG003
QT104,PL029,APPROVED,2025-02-15,AG001
QT105,PL030,PENDING,2025-02-15,AG002
QT106,PL011,REJECTED,2025-02-15,AG003
QT107,PL012,APPROVED,2025-02-15,AG001
QT108,PL013,PENDING,2025-02-15,AG002
QT109,PL014,REJECTED,2025-02-15,AG003
QT110,PL015,APPROVED,2025-02-15,AG001
QT111,PL016,PENDING,2025-02-15,AG002
QT112,PL017,REJECTED,2025-02-15,AG003
QT113,PL018,APPROVED,2025-02-15,AG001
QT114,PL019,REJECTED,2025-02-15,AG002
QT115,PL020,PENDING,2025-02-15,AG003
QT116,PL021,APPROVED,2025-02-15,AG001
QT117,PL022,PENDING,2025-02-15,AG002
QT118,PL023,REJECTED,2025-02-15,AG003
QT119,PL024,APPROVED,2025-02-15,AG001
QT120,PL025,PENDING,2025-02-15,AG002
QT121,PL026,REJECTED,2025-02-15,AG003
QT122,PL027,APPROVED,2025-02-15,AG001
QT123,PL028,REJECTED,2025-02-15,AG002
QT124,PL029,APPROVED,2025-02-15,AG003
QT125,PL030,PENDING,2025-02-15,AG001
QT126,PL011,REJECTED,2025-02-15,AG002
QT127,PL012,PENDING,2025-02-15,AG003
QT128,PL013,APPROVED,2025-02-15,AG001
QT129,PL014,PENDING,2025-02-15,AG002
QT130,PL015,REJECTED,2025-02-15,AG003
QT131,PL016,APPROVED,2025-02-15,AG001
QT132,PL017,REJECTED,2025-02-15,AG002
QT133,PL018,PENDING,2025-02-15,AG003
QT134,PL019,APPROVED,2025-02-15,AG001
QT135,PL020,REJECTED,2025-02-15,AG002
QT136,PL021,APPROVED,2025-02-15,AG003
QT137,PL022,PENDING,2025-02-15,AG001
QT138,PL023,REJECTED,2025-02-15,AG002
QT139,PL024,PENDING,2025-02-15,AG003
QT140,PL025,APPROVED,2025-02-15,AG001
QT141,PL026,REJECTED,2025-02-15,AG002
QT142,PL027,PENDING,2025-02-15,AG003
QT143,PL028,APPROVED,2025-02-15,AG001
QT144,PL029,REJECTED,2025-02-15,AG002
QT145,PL030,PENDING,2025-02-15,AG003
